Categorias de assuntos	Assunto
(SUP) Banco de dados - desktop	(SUP) Bco. Dados - Null null - Primeira instalação
(SUP) Banco de dados - desktop	(SUP) Bco. Dados - Análise
(SUP) Banco de dados - desktop	(SUP) Bco. Dados - Hackeado
(SUP) Banco de dados - desktop	(SUP) Bco. Dados -Comandos - Rotina de atualização
(SUP) Banco de dados - desktop	(SUP) Bco. Dados -Comandos - Alterar serie/numeração de NFC-e com duplicidade
(SUP) Banco de dados - desktop	(SUP) Bco. Dados -Comandos - Alterar status de notas em massa (Inutilizada)
(SUP) Banco de dados - desktop	(SUP) DB -Hackeado
(SUP) Banco de dados - desktop	(SUP) DB -Null null - Primeira instalação
(SUP) Banco de dados - desktop	(SUP) DB -Instalação
(SUP) Banco de dados - desktop	(SUP) DB -Análise
(SUP) Banco de dados - desktop	(SUP) DB -Cmd-  Alterar status de notas em massa (Inutilizada)
(SUP) Banco de dados - desktop	(SUP) DB -Restaurar backup pasta data
(SUP) Banco de dados - desktop	(SUP) DB -Cmd- Alterar serie/numeração de NFC-e com duplicidade
(SUP) Banco de dados - desktop	(SUP) DB - Fazer backup pelo QueryBrowser
(SUP) Banco de dados - desktop	(SUP) DB -Fazer backup pasta data
(SUP) Banco de dados - desktop	(SUP) DB -Cmd-  Rotina de atualização
(SUP) Banco de dados - desktop	(SUP) DB -Cmd- outro
(SUP) Banco de dados - desktop	(SUP) DB -Restaurar backup pelo QueryBrowser
(SUP) Banco de dados - desktop	(SUP) DB -Cmd- status (Duplicidade)
(SUP) Banco de dados - desktop	(SUP) DB -Cmd- status (Cancelada)
(SUP) Banco de dados - desktop	(SUP) DB -Cmd- status (Denegada)
(SUP) Banco de dados - desktop	(SUP) DB -Cmd- CPF/CNPJ do cliente
(SUP) Banco de dados - desktop	(SUP) DB -Cmd- tributação em massa
(SUP) Banco de dados - desktop	(SUP) DB -Cmd- preço de venda em massa
(SUP) Banco de dados - desktop	(SUP) DB -Cmd-  Id do CEST zerado vindo do Imendes
(SUP) Banco de dados - desktop	(SUP) DB -Cmd- Preço de custo em massa
(SUP) Banco de dados - desktop	(SUP) DB -Cmd- Pode lote SIM ou Não em massa
(SUP) Banco de dados - desktop	(SUP) DB -Cmd-  tipo documento do cliente
(SUP) Banco de dados - desktop	(SUP) DB -Cmd- status do orçamento salvar
(SUP) Banco de dados - desktop	(SUP) DB -Cmd- Admin sem permissão
(SUP) Banco de dados - desktop	(SUP) DB -Cmd- Tipo de título do c. receber
(SUP) Banco de dados - desktop	(SUP) DB -Cmd-  Nota de devolução de ICMS
(SUP) Banco de dados - desktop	(SUP) DB -Cmd-  Inativar produtos em massa
(SUP) Banco de dados - desktop	(SUP) DB -Cmd- Inativar clientes em massa
(SUP) Banco de dados - desktop	(SUP) DB -Cmd- remover caracteres especiais
(SUP) Banco de dados - desktop	(SUP) DB -Cmd-  Relatório personalizado
(SUP) Banco de dados - desktop	(SUP) DB -Cmd-  Colocar zeros no código de balança
(SUP) Banco de dados - desktop	(SUP) DB -Cmd-  Colocar zeros no código de barrar
(SUP) Banco de dados - desktop	(SUP) DB -Cmd-  Atualização de alíquota de ICMS
(SUP) Banco de dados - desktop	(SUP) DB -Cmd-  Inverter código de referencia e código
(SUP) Banco de dados - desktop	(SUP) DB -Cmd-  Iniciar ID do produto com 100000
(SUP) Banco de dados - desktop	(SUP) DB -Cmd-  Replicar código de barras no campo código
(SUP) Banco de dados - desktop	(SUP) DB -Cmd-   Remover código repetido
(SUP) Banco de dados - desktop	(SUP) DB -Cmd-  Remover notas antigas de entrada
(SUP) Banco de dados - desktop	(SUP) DB -Cmd-  MDF-E apagar as tabelas no banco
(SUP) Banco de dados - desktop	(SUP) DB -Cmd-  Iniciar ID do produto com 1
(SUP) Banco de dados - desktop	(SUP) DB -Cmd-  Saltar Número da NFC-e
(SUP) Banco de dados - desktop	(SUP) DB - Recuperar Banco corrompido
(SUP) Banco de dados - desktop	(SUP) DB - extração de tabelas
(SUP) Banco de dados - desktop	(SUP) DB - troca de CNPJ
(SUP) Banco de dados - desktop	(SUP) DB - Extração/Importação de tabela
(SUP) Banco de dados - desktop	(SUP) DB - Permitir no firewall
(SUP) Banco de dados - desktop	(SUP) DB - Causado pela revenda
(SUP) Cliente Final	(SUP) Cliente Final - outro
(SUP) Dúvidas -equipamentos	(SUP) Dúvidas -equipamentos - outro
(SUP) Dúvidas -equipamentos	(SUP) Dúvidas -equipamentos - outro
(SUP) Dúvidas -ERP desktop	(SUP) Dúvidas -ERP desktop - outra
(SUP) Dúvidas -integrações	(SUP) Dúvidas -integrações - outro
(SUP) Dúvidas -outros	(SUP) Dúvidas -outros
(SUP) Encaminhado - outro setores	(SUP) Encaminhado - Migração
(SUP) Encaminhado - outro setores	(SUP) Encaminhado - Financeiro
(SUP) Encaminhado - outro setores	(SUP) Encaminhado - Comercial
(SUP) Encaminhado - outro setores	(SUP) Encaminhado - Gerente de contas
(SUP) Encaminhado - outro setores	(SUP) Encaminhado - Relatórios
(SUP) Encaminhado - outro setores	(SUP) Encaminhado - solicitação desenvolvimento
(SUP) Equipamentos	(SUP) Impressoras- outro
(SUP) Equipamentos	(SUP) Impressoras - instalação
(SUP) Equipamentos	(SUP) Impressoras - Acesso negado
(SUP) Equipamentos	(SUP) Impressoras - compartilhamento em rede
(SUP) Equipamentos	(SUP) Impressoras - layout fora de padrão
(SUP) Equipamentos	(SUP) Impressoras - caminho da rede errado
(SUP) Equipamentos	(SUP) TEFs homologados
(SUP) Equipamentos	(SUP) balan. checkout - outra
(SUP) Equipamentos	(SUP) balan. etiquetadora - outra
(SUP) Equipamentos	(SUP) config. prix 4 uno
(SUP) Equipamentos	(SUP) config. Ramuza Atena II
(SUP) Equipamentos	(SUP) config. Urano POP S
(SUP) Equipamentos	(SUP) config. prix 8217
(SUP) Equipamentos	(SUP) config. Urano UDC - CO 30/5e
(SUP) Equipamentos	(SUP) config. MGV6
(SUP) Equipamentos	(SUP) config. MGV7
(SUP) Equipamentos	(SUP)config. urano conect
(SUP) Equipamentos	(SUP) Import de arq no MGV 5/6/7
(SUP) Equipamentos	(SUP) config. Elgin L42DT
(SUP) Equipamentos	(SUP) comuni. Balança e software
(SUP) Equipamentos	(SUP)config. smart editor
(SUP) Equipamentos	(SUP) config. UPX Wind D3
(SUP) Equipamentos	(SUP) config. MGV5
(SUP) Equipamentos	(SUP) config. prix 3 fit
(SUP) Equipamentos	(SUP) config. Filizola platina
(SUP) Equipamentos	(SUP) equipamentos- outro
(SUP) Equipamentos	(SUP) equip - Conf. Forma de pagamento
(SUP) Equipamentos	(SUP) equip -  Term. de Consulta - Outro
(SUP) Equipamentos	(SUP) equip - Term. de Consulta - Como instalar
(SUP) Equipamentos	(SUP) equip - Term. de Consulta - Configuração do banco de dados
(SUP) Equipamentos	(SUP) equip - Term. de Consulta - Outro
(SUP) Equipamentos	(SUP) equip - Computador - Outro
(SUP) Equipamentos	(SUP) equip - Computador - Processamento ruim
(SUP) Equipamentos	(SUP) equip - Leitor de código de barras - outro
(SUP) Equipamentos	(SUP) equip - Leitor de código de barras - como instalar
(SUP) Equipamentos	(SUP) equip - Computador -HD Cheio
(SUP) Equipamentos	(SUP) equip - Term. de Consulta - Config. G2 gertec
(SUP) ERP	(SUP) ERP - Instalação
(SUP) ERP	(SUP) ERP Cadastro - Outro
(SUP) ERP	(SUP) ERP Cad. Empresa - Outro
(SUP) ERP	(SUP) ERP Cad. Empresa - Outro
(SUP) ERP	(SUP) ERP Cad. Cliente - Data too long 'obs'
(SUP) ERP	(SUP) ERP desktop - Nota de devolução
(SUP) ERP	(SUP) ERP desk - Nota de devolução
(SUP) ERP	(SUP) ERP desk - Nota de devolução
(SUP) ERP	(SUP) ERP - outro
(SUP) ERP	(SUP) ERP - Atualização setup
(SUP) ERP	(SUP) ERP - Atualização PI
(SUP) ERP	(SUP) ERP - Instalação
(SUP) ERP	(SUP) ERP - falta de colunas do banco
(SUP) ERP	(SUP) ERP - PI Data/Hora
(SUP) ERP	(SUP) ERP - Comunic TRM x Servidor
(SUP) ERP	(SUP) ERP - Comunic   o banco de dados
(SUP) ERP	(SUP) ERP - Sistema expirado
(SUP) ERP	(SUP) ERP PDV- Conflito entre produtos
(SUP) ERP	(SUP) ERP PDV - Analise fecham de caixa
(SUP) ERP	(SUP) ERP PDV - Não foi possível carregar certificado digital
(SUP) ERP	(SUP) ERP PDV - certificado vencido
(SUP) ERP	(SUP) ERP PDV - Pis e cofins não estão completos
(SUP) ERP	(SUP) ERP PDV - Conteúdo do elemento ICMS não está completo
(SUP) ERP	(SUP) ERP PDV - Conteúdo do elemento 'nro' não é válido
(SUP) ERP	(SUP) ERP - null null primeira instalação
(SUP) ERP	(SUP)ERP - Erro ao carregar logo da softhouse
(SUP) ERP	(SUP) ERP PDV -  Conteúdo do elemento 'cEAN' não é válido
(SUP) ERP	(SUP) ERP PDV -  O valor do elemento 'xLgr' não é válido
(SUP) ERP	(SUP) ERP PDV - O valor do elemento 'infCpl' não é válido
(SUP) ERP	(SUP) ERP PDV - O valor do elemento 'xProd' não é válido
(SUP) ERP	(SUP) ERP PDV - O valor do elemento 'CEP' não é válido
(SUP) ERP	(SUP) ERP PDV - O valor do elemento 'CFOP' não é válido
(SUP) ERP	(SUP) ERP PDV - Valor do elemento 'IE' não é válido
(SUP) ERP	(SUP) ERP PDV - UTF8 caracteres especiais
(SUP) ERP	(SUP) ERP PDV - Rollback infinity acréscimo/desconto
(SUP) ERP	(SUP) ERP PDV -  Instabilidade na SEFAZ
(SUP) ERP	(SUP) ERP PDV - Tributação incorreta
(SUP) ERP	(SUP) ERP PDV -  o valor 'Unidade' do elemento 'uCom' não é valido
(SUP) ERP	(SUP) ERP PDV - Valor do 'xnome' não é valido
(SUP) ERP	(SUP) ERP PDV - Espaço no nome do usuário
(SUP) ERP	(SUP) ERP PDV - Null ao informar um serviço
(SUP) ERP	(SUP) ERP PDV - Cad empresa incompleto
(SUP) ERP	(SUP) ERP PDV - Cadastro de cliente incompleto
(SUP) ERP	(SUP) ERP PDV - O valor do elemento 'CNPJ' não é válido
(SUP) ERP	(SUP) ERP PDV -  Null - Sem certificado
(SUP) ERP	(SUP) ERP PDV - Null na abertura de caixa
(SUP) ERP	(SUP) ERP PDV - O valor do elemento 'xJust' não é válido
(SUP) ERP	(SUP) ERP PDV - O valor do elemento 'fone' não é válido
(SUP) ERP	(SUP) ERP PDV - Null sem informações de combustível
(SUP) ERP	(SUP) ERP PDV - Null - Produto sem grupo de tributação
(SUP) ERP	(SUP) ERP PDV - Null - G. Trib com dados nulos
(SUP) ERP	(SUP) ERP PDV - Balança de checkout não configurada
(SUP) ERP	(SUP) ERP PDV - Null - Impressora não configurada
(SUP) ERP	(SUP) ERP PDV - Erro de leitura de etiqueta de balança
(SUP) ERP	(SUP) ERP PDV - Null null configuração de caixa incorreta
(SUP) ERP	(SUP) ERP PDV - Null null formas de pagamentos
(SUP) ERP	(SUP) ERP Balcão - outro
(SUP) ERP	(SUP) ERP Gourmet - outro
(SUP) ERP	(SUP) ERP OS - outro
(SUP) ERP	(SUP) ERP faturamento  - O valor do elemento 'CEP' não é válido
(SUP) ERP	(SUP) ERP faturamento - O valor do elemento 'nro' não é válido
(SUP) ERP	(SUP) ERP faturamento - O sistema não pode encontrar o caminho especificado (certificado)
(SUP) ERP	(SUP) ERP faturamento - Pasta de armazenamento de XML não encontrada
(SUP) ERP	(SUP) ERP faturamento - Timed out ao realizar faturamento
(SUP) ERP	(SUP) ERP Devolução - Outro
(SUP) ERP	(SUP) ERP Retaguarda - Outro
(SUP) ERP	(SUP) ERP pedido de venda - outro
(SUP) ERP	(SUP) ERP faturamento - outro
(SUP) ERP	(SUP) ERP Estoque - Outro
(SUP) ERP	(SUP) ERP Ent. de Estoque - Verificar qtd de lote
(SUP) ERP	(SUP) ERP Ent. de Estoque - CST em branco
(SUP) ERP	(SUP) ERP Saida de Estoque - outra
(SUP) ERP	(SUP) ERP Ent. de Estoque - Funci ICMS Deson
(SUP) ERP	(SUP) ERP Ent. de Estoque - assoc. de prod errada
(SUP) ERP	(SUP) ERP Ent. de Estoque - funcionamento da Conferência
(SUP) ERP	(SUP) ERP Ent. de Estoque -  Nota salva e não concluída
(SUP) ERP	(SUP) ERP Transferência - Outro
(SUP) ERP	(SUP) ERP Ajuste de Estoque - Outro
(SUP) ERP	(SUP) ERP Transferência - Outro
(SUP) ERP	(SUP) ERP Transferência - Lote/Vencimento - Outro
(SUP) ERP	(SUP) ERP Controle de Entregas - Outro
(SUP) ERP	(SUP) ERP Balanças - Outro
(SUP) ERP	(SUP) ERP Etiquetas - Outro
(SUP) ERP	(SUP) ERP Etiquetas - Personalização
(SUP) ERP	(SUP) ERP Etiquetas - Treinamento
(SUP) ERP	(SUP) ERP Terminal de Consultas
(SUP) ERP	(SUP) ERP Atualização de Preços - outro
(SUP) ERP	(SUP) ERP Financeiro - Outro
(SUP) ERP	(SUP) ERP C. Receber - Outro
(SUP) ERP	(SUP) ERP C. pagar - Outro
(SUP) ERP	(SUP) ERP C. Receber - não pode ser uma conta SINTÉTICA
(SUP) ERP	(SUP) ERP - Remessa/Retorno - Outro
(SUP) ERP	(SUP) ERP - C. Receber -
(SUP) ERP	(SUP) ERP - C. Fidelidade - Outro
(SUP) ERP	(SUP) ERP - C. Cartões - Outro
(SUP) ERP	(SUP) ERP -  C. Caixa - Outro
(SUP) ERP	(SUP) ERP -  C. Carta de Crédito - Outro
(SUP) ERP	(SUP) ERP C. Receber - Bug visual no rodapé de somatórios
(SUP) ERP	(SUP) ERP C. Receber - Problemas por duplicar títulos
(SUP) ERP	(SUP) ERP Fiscal - Outro
(SUP) ERP	(SUP) ERP - NF-e - Outro
(SUP) ERP	(SUP) ERP NF-e nota de homologação
(SUP) ERP	(SUP) ERP NF-e - funcionamento da contigência
(SUP) ERP	(SUP) ERP NF-e - Modalidade do ICMS vazia
(SUP) ERP	(SUP) ERP NF-e - Instabilidade na SEFAZ
(SUP) ERP	(SUP) ERP NF-e - O valor do elemento 'xNome' não é válido
(SUP) ERP	(SUP) ERP NF-e -O valor do elemento 'nro' não é válido
(SUP) ERP	(SUP) ERP NF-e - O valor do elemento 'natOp' não é válido
(SUP) ERP	(SUP) ERP NF-e - O valor do elemento 'xLgr' não é válido
(SUP) ERP	(SUP) ERP NF-e - O valor do elemento 'IE' não é válido
(SUP) ERP	(SUP) ERP NF-e - O valor do elemento CNPJ não é válido
(SUP) ERP	(SUP) ERP NF-e - O valor do elemento 'CEP' não é válido
(SUP) ERP	(SUP) ERP NF-e - cEnq IPI
(SUP) ERP	(SUP) ERP NF-e - O conteúdo do elemento 'PIS'/'COFINS' não está completo
(SUP) ERP	(SUP) ERP NF-e - Não foi possível detectar conexão com a internet, verifique sua conexão
(SUP) ERP	(SUP) ERP NF-e -  o elemento 'dVal'. Era esperado um dos 'dFab'.
(SUP) ERP	(SUP) ERP NF-e - Retorno caracteres especiais
(SUP) ERP	(SUP) ERP NF-e - Null null - Produto sem grupo de tribuação
(SUP) ERP	(SUP) ERP NF-e - Null null - Preço de custo/compra dos produtos zerado
(SUP) ERP	(SUP) ERP NF-e - Name is mull - Dados de combustível em branco
